station_identifier,name,latitude,longitude,elevation_m,timezone,url,forecast_url,fireweather_zone_url
006ID,W3T6,44.70218,-116.08283,1480.1088,America/Boise,https://api.weather.gov/stations/006ID,https://api.weather.gov/zones/forecast/IDZ011,https://api.weather.gov/zones/fire/IDZ401
006MD,College Park 2 N,39.00999,-76.9411,28.956,America/New_York,https://api.weather.gov/stations/006MD,https://api.weather.gov/zones/forecast/MDZ013,https://api.weather.gov/zones/fire/MDZ013
006NH,Warner I-89,43.29003,-71.83747,142.9512,America/New_York,https://api.weather.gov/stations/006NH,https://api.weather.gov/zones/forecast/NHZ008,https://api.weather.gov/zones/fire/NHZ024
006NW,I-15,46.47838,-111.97644,1282.9032,America/Denver,https://api.weather.gov/stations/006NW,https://api.weather.gov/zones/forecast/MTZ322,https://api.weather.gov/zones/fire/MTZ118
006PG,Vacaville Tower,38.32575,-122.04104,201.4728,America/Los_Angeles,https://api.weather.gov/stations/006PG,https://api.weather.gov/zones/forecast/CAZ018,https://api.weather.gov/zones/fire/CAZ218
006SE,SCE Cuesta Verde,34.46087,-119.83051,53.6448,America/Los_Angeles,https://api.weather.gov/stations/006SE,https://api.weather.gov/zones/forecast/CAZ350,https://api.weather.gov/zones/fire/CAZ350
007BH,Old Hill City Rd,43.90159,-103.44852,1369.1616,America/Denver,https://api.weather.gov/stations/007BH,https://api.weather.gov/zones/forecast/SDZ028,https://api.weather.gov/zones/fire/SDZ320
007CE,58 Sylvan Beach,29.65428,-95.01024,3.6576,America/Chicago,https://api.weather.gov/stations/007CE,https://api.weather.gov/zones/forecast/TXZ313,https://api.weather.gov/zones/fire/TXZ313
007HC,3070 SH 288 at Loop 610,29.67978,-95.38104,17.0688,America/Chicago,https://api.weather.gov/stations/007HC,https://api.weather.gov/zones/forecast/TXZ213,https://api.weather.gov/zones/fire/TXZ213
007HE,MECO Launiupoko,20.86704,-156.64241,223.4184,Pacific/Honolulu,https://api.weather.gov/stations/007HE,https://api.weather.gov/zones/forecast/HIZ018,https://api.weather.gov/zones/fire/HIZ328
007HI,Laupahoehoe,19.932,-155.291,1150.9248,Pacific/Honolulu,https://api.weather.gov/stations/007HI,https://api.weather.gov/zones/forecast/HIZ053,https://api.weather.gov/zones/fire/HIZ339
007ID,W2T17,44.07152,-115.94224,952.5,America/Boise,https://api.weather.gov/stations/007ID,https://api.weather.gov/zones/forecast/IDZ013,https://api.weather.gov/zones/fire/IDZ421
007MD,Wye Mills 4 WSW,38.91833,-76.14528,4.8768,America/New_York,https://api.weather.gov/stations/007MD,https://api.weather.gov/zones/forecast/MDZ015,https://api.weather.gov/zones/fire/MDZ015
007NH,Bow,43.16553,-71.52282,110.9472,America/New_York,https://api.weather.gov/stations/007NH,https://api.weather.gov/zones/forecast/NHZ008,https://api.weather.gov/zones/fire/NHZ025
007NW,Sawmill Rd,46.50819,-111.90153,1515.1608,America/Denver,https://api.weather.gov/stations/007NW,https://api.weather.gov/zones/forecast/MTZ322,https://api.weather.gov/zones/fire/MTZ118
007PG,Willow Canyon Drive,37.26429,-119.50756,957.6816,America/Los_Angeles,https://api.weather.gov/stations/007PG,https://api.weather.gov/zones/forecast/CAZ318,https://api.weather.gov/zones/fire/CAZ592
007SE,SCE Dennis Reservoir,34.47438,-119.82226,116.1288,America/Los_Angeles,https://api.weather.gov/stations/007SE,https://api.weather.gov/zones/forecast/CAZ350,https://api.weather.gov/zones/fire/CAZ350
0081W,University of Miami,25.71802,-80.27768,10.9728,America/New_York,https://api.weather.gov/stations/0081W,https://api.weather.gov/zones/forecast/FLZ074,https://api.weather.gov/zones/fire/FLZ074
0084W,The Arboretum at Penn State,40.80642,-77.86902,359.9688,America/New_York,https://api.weather.gov/stations/0084W,https://api.weather.gov/zones/forecast/PAZ019,https://api.weather.gov/zones/fire/PAZ019
008BH,5719 HWY 9,38.55997,-105.42566,1993.6968,America/Denver,https://api.weather.gov/stations/008BH,https://api.weather.gov/zones/forecast/COZ077,https://api.weather.gov/zones/fire/COZ222
008CE,59 Shell Point,29.68181,-94.93468,3.048,America/Chicago,https://api.weather.gov/stations/008CE,https://api.weather.gov/zones/forecast/TXZ313,https://api.weather.gov/zones/fire/TXZ313
008HE,MECO Olowalu,20.82027,-156.61747,43.8912,Pacific/Honolulu,https://api.weather.gov/stations/008HE,https://api.weather.gov/zones/forecast/HIZ018,https://api.weather.gov/zones/fire/HIZ328
008HI,Palamanui,19.748,-155.996,263.9568,Pacific/Honolulu,https://api.weather.gov/stations/008HI,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
008ID,CP3T6,43.63644,-115.98799,1003.0968,America/Boise,https://api.weather.gov/stations/008ID,https://api.weather.gov/zones/forecast/IDZ013,https://api.weather.gov/zones/fire/IDZ421
008MD,Baltimore 3 NNE,39.33523,-76.59088,68.58,America/New_York,https://api.weather.gov/stations/008MD,https://api.weather.gov/zones/forecast/MDZ011,https://api.weather.gov/zones/fire/MDZ011
008NH,Nashua FEE Exit 2,42.73175,-71.45692,81.0768,America/New_York,https://api.weather.gov/stations/008NH,https://api.weather.gov/zones/forecast/NHZ012,https://api.weather.gov/zones/fire/NHZ025
008NW,Mt Hwy 87,44.8172,-111.48105,1891.284,America/Denver,https://api.weather.gov/stations/008NW,https://api.weather.gov/zones/forecast/MTZ330,https://api.weather.gov/zones/fire/MTZ111
008PG,El Camino Real,36.86074,-121.59027,98.7552,America/Los_Angeles,https://api.weather.gov/stations/008PG,https://api.weather.gov/zones/forecast/CAZ528,https://api.weather.gov/zones/fire/CAZ528
008SE,SCE Horsethief Canyon,34.31443,-117.35487,997.0008,America/Los_Angeles,https://api.weather.gov/stations/008SE,https://api.weather.gov/zones/forecast/CAZ055,https://api.weather.gov/zones/fire/CAZ255
0097W,Wakulla High School,30.10783,-84.37652,14.0208,America/New_York,https://api.weather.gov/stations/0097W,https://api.weather.gov/zones/forecast/FLZ127,https://api.weather.gov/zones/fire/FLZ127
009BH,Crook City Rd,44.44766,-103.62971,1128.3696,America/Denver,https://api.weather.gov/stations/009BH,https://api.weather.gov/zones/forecast/SDZ025,https://api.weather.gov/zones/fire/SDZ323
009CE,57 Morgan's Point,29.67871,-94.98274,3.048,America/Chicago,https://api.weather.gov/stations/009CE,https://api.weather.gov/zones/forecast/TXZ313,https://api.weather.gov/zones/fire/TXZ313
009HE,HELCO Hulukupuna St,20.02396,-155.81249,86.868,Pacific/Honolulu,https://api.weather.gov/stations/009HE,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
009HI,Mamalahoa,19.803,-155.851,602.8944,Pacific/Honolulu,https://api.weather.gov/stations/009HI,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
009ID,W3T7,44.71661,-116.11247,1479.1944,America/Boise,https://api.weather.gov/stations/009ID,https://api.weather.gov/zones/forecast/IDZ011,https://api.weather.gov/zones/fire/IDZ401
009MD,Upper Marlboro 3 NNW,38.86236,-76.77675,36.2712,America/New_York,https://api.weather.gov/stations/009MD,https://api.weather.gov/zones/forecast/MDZ013,https://api.weather.gov/zones/fire/MDZ013
009NH,Nashua FEE Exit 8,42.79292,-71.49669,64.008,America/New_York,https://api.weather.gov/stations/009NH,https://api.weather.gov/zones/forecast/NHZ012,https://api.weather.gov/zones/fire/NHZ025
009NW,Jackson Creek Rd.,45.67069,-110.83718,1664.5128,America/Denver,https://api.weather.gov/stations/009NW,https://api.weather.gov/zones/forecast/MTZ320,https://api.weather.gov/zones/fire/MTZ123
009PG,Fulton - Calistoga South,38.63502,-122.59485,393.8016,America/Los_Angeles,https://api.weather.gov/stations/009PG,https://api.weather.gov/zones/forecast/CAZ504,https://api.weather.gov/zones/fire/CAZ504
009SE,SCE Webster Ave,33.79369,-117.24382,477.9264,America/Los_Angeles,https://api.weather.gov/stations/009SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
